,attention,meditation,raw_value,timestamp
clip1,0,0,55,2.25600004196167
clip1,0,0,12,2.256999969482422
clip1,0,0,-1,2.257999897003174
clip1,0,0,11,2.257999897003174
clip1,0,0,19,2.259000062942505
clip1,0,0,20,2.259000062942505
clip1,0,0,9,2.259000062942505
clip1,0,0,-8,2.259999990463257
clip1,0,0,-24,2.259999990463257
clip1,0,0,-28,2.2709999084472656
clip1,0,0,-13,2.2709999084472656
clip1,0,0,9,2.2720000743865967
clip1,0,0,7,2.2730000019073486
clip1,0,0,-19,2.2730000019073486
clip1,0,0,-30,2.2779998779296875
clip1,0,0,-40,2.2799999713897705
clip1,0,0,-57,2.2809998989105225
clip1,0,0,-70,2.282000064849853
clip1,0,0,-67,2.282000064849853
clip1,0,0,-59,2.296999931335449
clip1,0,0,-59,2.2980000972747803
clip1,0,0,-56,2.2980000972747803
clip1,0,0,-74,2.299000024795532
clip1,0,0,-86,2.299000024795532
clip1,0,0,-86,2.299999952316284
clip1,0,0,-82,2.299999952316284
clip1,0,0,-66,2.300999879837036
clip1,0,0,-73,2.300999879837036
clip1,0,0,-103,2.302000045776367
clip1,0,0,-113,2.306999921798706
clip1,0,0,-104,2.308000087738037
clip1,0,0,-92,2.308000087738037
clip1,0,0,-72,2.309000015258789
clip1,0,0,-59,2.309000015258789
clip1,0,0,-61,2.309999942779541
clip1,0,0,-67,2.309999942779541
clip1,0,0,-70,2.310999870300293
clip1,0,0,-59,2.310999870300293
clip1,0,0,-55,2.312000036239624
clip1,0,0,-57,2.3320000171661377
clip1,0,0,-61,2.3329999446868896
clip1,0,0,-61,2.3339998722076416
clip1,0,0,-44,2.3339998722076416
clip1,0,0,-35,2.3350000381469727
clip1,0,0,-49,2.3350000381469727
clip1,0,0,-43,2.3359999656677246
clip1,0,0,-7,2.3359999656677246
clip1,0,0,13,2.336999893188477
clip1,0,0,-1,2.338000059127808
clip1,0,0,-22,2.361999988555908
clip1,0,0,-27,2.361999988555908
clip1,0,0,-17,2.36299991607666
clip1,0,0,-17,2.364000082015991
clip1,0,0,-44,2.364000082015991
clip1,0,0,-75,2.365000009536743
clip1,0,0,-86,2.365000009536743
clip1,0,0,-73,2.365000009536743
clip1,0,0,-53,2.365999937057495
clip1,0,0,-43,2.365999937057495
clip1,0,0,-50,2.382999897003174
clip1,0,0,-49,2.382999897003174
clip1,0,0,-45,2.384000062942505
clip1,0,0,-52,2.384000062942505
clip1,0,0,-53,2.384999990463257
clip1,0,0,-42,2.384999990463257
clip1,0,0,-22,2.385999917984009
clip1,0,0,-14,2.385999917984009
clip1,0,0,-29,2.385999917984009
clip1,0,0,-42,2.38700008392334
clip1,0,0,-42,2.407000064849853
clip1,0,0,-45,2.407999992370605
clip1,0,0,-52,2.407999992370605
clip1,0,0,-52,2.4089999198913574
clip1,0,0,-52,2.4100000858306885
clip1,0,0,-39,2.4100000858306885
clip1,0,0,-24,2.4110000133514404
clip1,0,0,-33,2.4110000133514404
clip1,0,0,-29,2.4119999408721924
clip1,0,0,-17,2.4119999408721924
clip1,0,0,-11,2.434000015258789
clip1,0,0,-28,2.434000015258789
clip1,0,0,-57,2.434000015258789
clip1,0,0,-70,2.434999942779541
clip1,0,0,-55,2.434999942779541
clip1,0,0,-26,2.435999870300293
clip1,0,0,-12,2.435999870300293
clip1,0,0,-8,2.435999870300293
clip1,0,0,-7,2.437000036239624
clip1,0,0,-9,2.437000036239624
clip1,0,0,1,2.437999963760376
clip1,0,0,11,2.437999963760376
clip1,0,0,19,2.440000057220459
clip1,0,0,27,2.440000057220459
clip1,0,0,12,2.440000057220459
clip1,0,0,-5,2.440999984741211
clip1,0,0,9,2.440999984741211
clip1,0,0,39,2.441999912261963
clip1,0,0,38,2.441999912261963
clip1,0,0,33,2.443000078201294
clip1,0,0,29,2.447000026702881
clip1,0,0,36,2.447999954223633
clip1,0,0,28,2.4489998817443848
clip1,0,0,19,2.4489998817443848
clip1,0,0,35,2.450000047683716
clip1,0,0,49,2.450000047683716
clip1,0,0,36,2.450999975204468
clip1,0,0,12,2.450999975204468
clip1,0,0,-2,2.450999975204468
clip1,0,0,1,2.45199990272522
clip1,0,0,6,2.461999893188477
clip1,0,0,9,2.463000059127808
clip1,0,0,17,2.46399998664856
clip1,0,0,16,2.4649999141693115
clip1,0,0,12,2.4649999141693115
clip1,0,0,5,2.4660000801086426
clip1,0,0,-5,2.4660000801086426
clip1,0,0,7,2.4670000076293945
clip1,0,0,-1,2.486999988555908
clip1,0,0,2,2.48799991607666
clip1,0,0,10,2.48799991607666
clip1,0,0,23,2.489000082015991
clip1,0,0,25,2.490000009536743
clip1,0,0,17,2.490000009536743
clip1,0,0,8,2.490999937057495
clip1,0,0,4,2.491999864578247
clip1,0,0,-4,2.491999864578247
clip1,0,0,-1,2.500999927520752
clip1,0,0,0,2.502000093460083
clip1,0,0,6,2.502000093460083
clip1,0,0,12,2.503000020980835
clip1,0,0,16,2.503000020980835
clip1,0,0,19,2.503999948501587
clip1,0,0,25,2.503999948501587
clip1,0,0,37,2.504999876022339
clip1,0,0,43,2.504999876022339
clip1,0,0,27,2.50600004196167
clip1,0,0,6,2.526000022888184
clip1,0,0,12,2.5269999504089355
clip1,0,0,23,2.5279998779296875
clip1,0,0,20,2.5279998779296875
clip1,0,0,-2,2.5290000438690186
clip1,0,0,-25,2.5290000438690186
clip1,0,0,-30,2.5299999713897705
clip1,0,0,-19,2.5299999713897705
clip1,0,0,-4,2.5309998989105225
clip1,0,0,5,2.5309998989105225
clip1,0,0,8,2.5409998893737797
clip1,0,0,-1,2.5420000553131104
clip1,0,0,-8,2.5429999828338623
clip1,0,0,-1,2.5429999828338623
clip1,0,0,4,2.5439999103546143
clip1,0,0,7,2.5439999103546143
clip1,0,0,12,2.5450000762939453
clip1,0,0,5,2.5460000038146973
clip1,0,0,-4,2.5460000038146973
clip1,0,0,-19,2.562000036239624
clip1,0,0,-24,2.562000036239624
clip1,0,0,-26,2.563999891281128
clip1,0,0,-35,2.563999891281128
clip1,0,0,-43,2.565000057220459
clip1,0,0,-25,2.565000057220459
clip1,0,0,16,2.572000026702881
clip1,0,0,48,2.572999954223633
clip1,0,0,66,2.5739998817443848
clip1,0,0,51,2.5739998817443848
clip1,0,0,29,2.5739998817443848
clip1,0,0,52,2.575000047683716
clip1,0,0,97,2.575000047683716
clip1,0,0,106,2.575999975204468
clip1,0,0,83,2.575999975204468
clip1,0,0,50,2.575999975204468
clip1,0,0,39,2.5980000495910645
clip1,0,0,53,2.5989999771118164
clip1,0,0,65,2.5989999771118164
clip1,0,0,69,2.5999999046325684
clip1,0,0,65,2.6010000705718994
clip1,0,0,60,2.6010000705718994
clip1,0,0,69,2.6010000705718994
clip1,0,0,58,2.601999998092652
clip1,0,0,40,2.601999998092652
clip1,0,0,45,2.6029999256134038
clip1,0,0,51,2.6080000400543213
clip1,0,0,43,2.608999967575073
clip1,0,0,44,2.609999895095825
clip1,0,0,38,2.609999895095825
clip1,0,0,41,2.611000061035156
clip1,0,0,53,2.611000061035156
clip1,0,0,53,2.611999988555908
clip1,0,0,37,2.611999988555908
clip1,0,0,25,2.611999988555908
clip1,0,0,25,2.61299991607666
clip1,0,0,23,2.632999897003174
clip1,0,0,19,2.634000062942505
clip1,0,0,39,2.634999990463257
clip1,0,0,49,2.635999917984009
clip1,0,0,51,2.635999917984009
clip1,0,0,57,2.63700008392334
clip1,0,0,44,2.63700008392334
clip1,0,0,34,2.63700008392334
clip1,0,0,35,2.638000011444092
clip1,0,0,32,2.6480000019073486
clip1,0,0,35,2.6489999294281006
clip1,0,0,61,2.6489999294281006
clip1,0,0,65,2.650000095367432
clip1,0,0,41,2.651000022888184
clip1,0,0,24,2.651000022888184
clip1,0,0,4,2.6519999504089355
clip1,0,0,-11,2.6519999504089355
clip1,0,0,-6,2.6529998779296875
clip1,0,0,3,2.6529998779296875
clip1,0,0,-7,2.677999973297119
clip1,0,0,-21,2.678999900817871
clip1,0,0,-23,2.678999900817871
clip1,0,0,-5,2.680000066757202
clip1,0,0,16,2.680999994277954
clip1,0,0,17,2.680999994277954
clip1,0,0,7,2.680999994277954
clip1,0,0,1,2.681999921798706
clip1,0,0,-3,2.681999921798706
clip1,0,0,-5,2.683000087738037
clip1,0,0,-11,2.690000057220459
clip1,0,0,-9,2.690000057220459
clip1,0,0,20,2.690999984741211
clip1,0,0,65,2.691999912261963
clip1,0,0,50,2.691999912261963
clip1,0,0,12,2.691999912261963
clip1,0,0,4,2.693000078201294
clip1,0,0,12,2.693000078201294
clip1,0,0,33,2.694000005722046
clip1,0,0,41,2.694000005722046
clip1,0,0,35,2.7179999351501465
clip1,0,0,28,2.7189998626708984
clip1,0,0,35,2.720000028610229
clip1,0,0,42,2.720000028610229
clip1,0,0,57,2.720999956130981
clip1,0,0,77,2.720999956130981
clip1,0,0,75,2.7219998836517334
clip1,0,0,58,2.7219998836517334
clip1,0,0,45,2.7219998836517334
clip1,0,0,50,2.7230000495910645
clip1,0,0,52,2.75
clip1,0,0,54,2.75
clip1,0,0,59,2.750999927520752
clip1,0,0,69,2.752000093460083
clip1,0,0,84,2.752000093460083
clip1,0,0,76,2.752000093460083
clip1,0,0,48,2.753000020980835
clip1,0,0,25,2.753000020980835
clip1,0,0,32,2.753999948501587
clip1,0,0,29,2.759999990463257
clip1,0,0,33,2.759999990463257
clip1,0,0,35,2.760999917984009
clip1,0,0,41,2.76200008392334
clip1,0,0,44,2.76200008392334
clip1,0,0,39,2.763000011444092
clip1,0,0,53,2.763000011444092
clip1,0,0,74,2.763000011444092
clip1,0,0,82,2.763999938964844
clip1,0,0,59,2.763999938964844
clip1,0,0,48,2.764999866485596
clip1,0,0,68,2.764999866485596
clip1,0,0,99,2.764999866485596
clip1,0,0,90,2.7660000324249268
clip1,0,0,54,2.7660000324249268
clip1,0,0,32,2.7669999599456787
clip1,0,0,36,2.7669999599456787
clip1,0,0,59,2.7679998874664307
clip1,0,0,48,2.7679998874664307
clip1,0,0,43,2.7890000343322754
clip1,0,0,37,2.7890000343322754
clip1,0,0,25,2.789999961853028
clip1,0,0,22,2.7909998893737797
clip1,0,0,33,2.7909998893737797
clip1,0,0,51,2.7920000553131104
clip1,0,0,75,2.7920000553131104
clip1,0,0,74,2.7929999828338623
clip1,0,0,56,2.7929999828338623
clip1,0,0,55,2.7929999828338623
clip1,0,0,65,2.809000015258789
clip1,0,0,56,2.809999942779541
clip1,0,0,43,2.810999870300293
clip1,0,0,48,2.810999870300293
clip1,0,0,59,2.812000036239624
