,attention,meditation,raw_value,timestamp
clip1,0,0,496,3.865999937057495
clip1,0,0,476,3.865999937057495
clip1,0,0,459,3.885999917984009
clip1,0,0,434,3.88700008392334
clip1,0,0,384,3.888000011444092
clip1,0,0,306,3.888000011444092
clip1,0,0,211,3.888999938964844
clip1,0,0,104,3.888999938964844
clip1,0,0,4,3.890000104904175
clip1,0,0,-93,3.890000104904175
clip1,0,0,-167,3.891000032424927
clip1,0,0,-205,3.891000032424927
clip1,0,0,-215,3.902999877929688
clip1,0,0,-199,3.902999877929688
clip1,0,0,-145,3.9040000438690186
clip1,0,0,-66,3.9049999713897705
clip1,0,0,-3,3.9049999713897705
clip1,0,0,34,3.9059998989105225
clip1,0,0,24,3.9059998989105225
clip1,0,0,-25,3.9070000648498535
clip1,0,0,-86,3.9070000648498535
clip1,0,0,-129,3.9070000648498535
clip1,0,0,-134,3.927999973297119
clip1,0,0,-98,3.927999973297119
clip1,0,0,-61,3.927999973297119
clip1,0,0,-44,3.928999900817871
clip1,0,0,-19,3.930000066757202
clip1,0,0,-53,3.930999994277954
clip1,0,0,-100,3.930999994277954
clip1,0,0,-130,3.931999921798706
clip1,0,0,-120,3.931999921798706
clip1,0,0,-90,3.941999912261963
clip1,0,0,-81,3.943000078201294
clip1,0,0,-103,3.943000078201294
clip1,0,0,-119,3.944000005722046
clip1,0,0,-90,3.944000005722046
clip1,0,0,-50,3.944999933242798
clip1,0,0,-21,3.944999933242798
clip1,0,0,-8,3.944999933242798
clip1,0,0,-19,3.946000099182129
clip1,0,0,-27,3.946000099182129
clip1,0,0,-52,3.9600000381469727
clip1,0,0,-91,3.9609999656677246
clip1,0,0,-116,3.9609999656677246
clip1,0,0,-94,3.961999893188477
clip1,0,0,-44,3.963000059127808
clip1,0,0,-9,3.963000059127808
clip1,0,0,3,3.96399998664856
clip1,0,0,42,3.96399998664856
clip1,0,0,120,3.96399998664856
clip1,0,0,177,3.964999914169312
clip1,0,0,173,3.986000061035156
clip1,0,0,163,3.986999988555908
clip1,0,0,176,3.98799991607666
clip1,0,0,185,3.98799991607666
clip1,0,0,144,3.989000082015991
clip1,0,0,75,3.989000082015991
clip1,0,0,43,3.990000009536743
clip1,0,0,35,3.990999937057495
clip1,0,0,34,3.990999937057495
clip1,0,0,52,3.990999937057495
clip1,0,0,107,4.000999927520752
clip1,0,0,166,4.002000093460083
clip1,0,0,186,4.003000020980835
clip1,0,0,203,4.003000020980835
clip1,0,0,246,4.003999948501587
clip1,0,0,277,4.003999948501587
clip1,0,0,283,4.003999948501587
clip1,0,0,272,4.003999948501587
clip1,0,0,251,4.004999876022339
clip1,0,0,243,4.004999876022339
clip1,0,0,233,4.026000022888184
clip1,0,0,183,4.026000022888184
clip1,0,0,118,4.026999950408936
clip1,0,0,97,4.027999877929688
clip1,0,0,123,4.0290000438690186
clip1,0,0,162,4.0290000438690186
clip1,0,0,200,4.0290000438690186
clip1,0,0,258,4.0299999713897705
clip1,0,0,304,4.0299999713897705
clip1,0,0,301,4.0309998989105225
clip1,0,0,269,4.037999868392944
clip1,0,0,252,4.039000034332275
clip1,0,0,257,4.039000034332275
clip1,0,0,284,4.039999961853027
clip1,0,0,310,4.040999889373779
clip1,0,0,320,4.040999889373779
clip1,0,0,325,4.040999889373779
clip1,0,0,356,4.04200005531311
clip1,0,0,402,4.04200005531311
clip1,0,0,437,4.042999982833862
clip1,0,0,456,4.056999921798706
clip1,0,0,470,4.058000087738037
clip1,0,0,473,4.059000015258789
clip1,0,0,476,4.059999942779541
clip1,0,0,496,4.059999942779541
clip1,0,0,503,4.060999870300293
clip1,0,0,473,4.060999870300293
clip1,0,0,436,4.062000036239624
clip1,0,0,421,4.062000036239624
clip1,0,0,393,4.082000017166138
clip1,0,0,346,4.082000017166138
clip1,0,0,312,4.08299994468689
clip1,0,0,300,4.08299994468689
clip1,0,0,304,4.083999872207642
clip1,0,0,306,4.085000038146973
clip1,0,0,315,4.085000038146973
clip1,0,0,329,4.085999965667725
clip1,0,0,344,4.085999965667725
clip1,0,0,358,4.086999893188477
clip1,0,0,355,4.096999883651733
clip1,0,0,371,4.0980000495910645
clip1,0,0,406,4.098999977111816
clip1,0,0,420,4.098999977111816
clip1,0,0,405,4.099999904632568
clip1,0,0,409,4.099999904632568
clip1,0,0,453,4.101000070571899
clip1,0,0,492,4.101000070571899
clip1,0,0,513,4.101000070571899
clip1,0,0,504,4.101999998092651
clip1,0,0,492,4.122999906539917
clip1,0,0,480,4.122999906539917
clip1,0,0,466,4.124000072479248
clip1,0,0,455,4.125
clip1,0,0,434,4.125
clip1,0,0,397,4.125999927520752
clip1,0,0,380,4.125999927520752
clip1,0,0,360,4.125999927520752
clip1,0,0,331,4.127000093460083
clip1,0,0,328,4.127000093460083
clip1,0,0,328,4.138999938964844
clip1,0,0,312,4.138999938964844
clip1,0,0,309,4.140000104904175
clip1,0,0,346,4.141000032424927
clip1,0,0,392,4.141000032424927
clip1,0,0,401,4.141999959945679
clip1,0,0,363,4.141999959945679
clip1,0,0,333,4.141999959945679
clip1,0,0,336,4.142999887466431
clip1,0,0,341,4.142999887466431
clip1,0,0,345,4.180000066757202
clip1,0,0,349,4.180999994277954
clip1,0,0,342,4.180999994277954
clip1,0,0,338,4.181999921798706
clip1,0,0,336,4.181999921798706
clip1,0,0,332,4.183000087738037
clip1,0,0,338,4.183000087738037
clip1,0,0,346,4.184000015258789
clip1,0,0,354,4.184000015258789
clip1,0,0,347,4.184000015258789
clip1,0,0,337,4.206000089645386
clip1,0,0,329,4.207000017166138
clip1,0,0,337,4.20799994468689
clip1,0,0,343,4.208999872207642
clip1,0,0,341,4.208999872207642
clip1,0,0,332,4.208999872207642
clip1,0,0,314,4.210000038146973
clip1,0,0,304,4.210000038146973
clip1,0,0,309,4.210999965667725
clip1,0,0,331,4.210999965667725
clip1,0,0,355,4.21399998664856
clip1,0,0,360,4.21399998664856
clip1,0,0,357,4.214999914169312
clip1,0,0,362,4.214999914169312
clip1,0,0,373,4.214999914169312
clip1,0,0,352,4.216000080108643
clip1,0,0,321,4.216000080108643
clip1,0,0,315,4.2170000076293945
clip1,0,0,322,4.2170000076293945
clip1,0,0,326,4.2179999351501465
clip1,0,0,336,4.2179999351501465
clip1,0,0,346,4.2190001010894775
clip1,0,0,358,4.2190001010894775
clip1,0,0,363,4.2200000286102295
clip1,0,0,369,4.2200000286102295
clip1,0,0,375,4.2200000286102295
clip1,0,0,385,4.220999956130981
clip1,0,0,386,4.220999956130981
clip1,0,0,385,4.221999883651733
clip1,0,0,389,4.221999883651733
clip1,0,0,392,4.233000040054321
clip1,0,0,392,4.233999967575073
clip1,0,0,393,4.233999967575073
clip1,0,0,394,4.234999895095825
clip1,0,0,403,4.234999895095825
clip1,0,0,402,4.236000061035156
clip1,0,0,387,4.236000061035156
clip1,0,0,380,4.236999988555908
clip1,0,0,379,4.256999969482422
clip1,0,0,385,4.257999897003174
clip1,0,0,388,4.259000062942505
clip1,0,0,379,4.259999990463257
clip1,0,0,353,4.259999990463257
clip1,0,0,329,4.260999917984009
clip1,0,0,331,4.260999917984009
clip1,0,0,336,4.26200008392334
clip1,0,0,327,4.26200008392334
clip1,0,0,300,4.26200008392334
clip1,0,0,289,4.269999980926514
clip1,0,0,290,4.270999908447266
clip1,0,0,288,4.270999908447266
clip1,0,0,277,4.272000074386597
clip1,0,0,264,4.272000074386597
clip1,0,0,264,4.273000001907349
clip1,0,0,259,4.273999929428101
clip1,0,0,257,4.273999929428101
clip1,0,0,261,4.275000095367432
clip1,0,0,273,4.296000003814697
clip1,0,0,282,4.296999931335449
clip1,0,0,274,4.29800009727478
clip1,0,0,261,4.29800009727478
clip1,0,0,250,4.299000024795532
clip1,0,0,227,4.299000024795532
clip1,0,0,195,4.299999952316284
clip1,0,0,170,4.299999952316284
clip1,0,0,162,4.300999879837036
clip1,0,0,147,4.300999879837036
clip1,0,0,122,4.315999984741211
clip1,0,0,123,4.315999984741211
clip1,0,0,150,4.315999984741211
clip1,0,0,179,4.316999912261963
clip1,0,0,178,4.318000078201294
clip1,0,0,156,4.319000005722046
clip1,0,0,122,4.319000005722046
clip1,0,0,103,4.319000005722046
clip1,0,0,121,4.319999933242798
clip1,0,0,135,4.319999933242798
clip1,0,0,135,4.335999965667725
clip1,0,0,131,4.336999893188477
clip1,0,0,130,4.338000059127808
clip1,0,0,135,4.33899998664856
clip1,0,0,132,4.33899998664856
clip1,0,0,130,4.339999914169312
clip1,0,0,134,4.339999914169312
clip1,0,0,141,4.341000080108643
clip1,0,0,144,4.351000070571899
clip1,0,0,132,4.351000070571899
clip1,0,0,105,4.351999998092651
clip1,0,0,71,4.352999925613403
clip1,0,0,53,4.352999925613403
clip1,0,0,55,4.354000091552734
clip1,0,0,59,4.354000091552734
clip1,0,0,60,4.355000019073486
clip1,0,0,67,4.355000019073486
clip1,0,0,83,4.355000019073486
clip1,0,0,90,4.369999885559082
clip1,0,0,82,4.369999885559082
clip1,0,0,68,4.371000051498413
clip1,0,0,71,4.371999979019165
clip1,0,0,65,4.371999979019165
clip1,0,0,45,4.371999979019165
clip1,0,0,35,4.372999906539917
clip1,0,0,37,4.372999906539917
clip1,0,0,49,4.374000072479248
clip1,0,0,52,4.374000072479248
clip1,0,0,57,4.397000074386597
clip1,0,0,80,4.397000074386597
clip1,0,0,105,4.398999929428101
clip1,0,0,119,4.398999929428101
clip1,0,0,115,4.400000095367432
clip1,0,0,100,4.400000095367432
clip1,0,0,73,4.400000095367432
clip1,0,0,48,4.401000022888184
clip1,0,0,38,4.401000022888184
clip1,0,0,53,4.401999950408936
clip1,0,0,75,4.4100000858306885
clip1,0,0,92,4.4100000858306885
clip1,0,0,96,4.41100001335144
clip1,0,0,90,4.411999940872192
clip1,0,0,89,4.411999940872192
clip1,0,0,97,4.412999868392944
clip1,0,0,91,4.412999868392944
clip1,0,0,82,4.412999868392944
clip1,0,0,85,4.414000034332275
clip1,0,0,88,4.414000034332275
clip1,0,0,85,4.424999952316284
clip1,0,0,88,4.425999879837036
clip1,0,0,109,4.425999879837036
clip1,0,0,114,4.427000045776367
clip1,0,0,89,4.427000045776367
clip1,0,0,60,4.427999973297119
clip1,0,0,50,4.427999973297119
clip1,0,0,57,4.428999900817871
clip1,0,0,67,4.428999900817871
clip1,0,0,61,4.430000066757202
clip1,0,0,48,4.450999975204468
clip1,0,0,53,4.45199990272522
clip1,0,0,60,4.45199990272522
clip1,0,0,51,4.453000068664551
clip1,0,0,28,4.453000068664551
